ExtractTime,DatabaseDate,PlanID,PlanNumber,InvestmentDescription,InvestmentCategory,FundCode,FundISINCode,UnitsHeld,UnitPrice,PriceDate,InvestmentCurrencyISO,InvestmentCurrencyValue,ExchangeRate,ExchangeRateDate,ValuationCurrencyISO,ValuationCurrencyValue,BookCost,InterestAccruedValue,InterestAccruedDays
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,FundSmith SICAV - Equity T Acc (EUR),Collective Funds,B4K9WN1,LU0690375182,226.9,52.2604,31/10/2023,EUR,11857.88,1,31/10/2023,EUR,11858,9000,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,POLAR CAPITAL FUND - Global Tech I (EUR),Collective Funds,B42N9S5,IE00B42N9S52,177.165,69.35,31/10/2023,EUR,12286.39,1,31/10/2023,EUR,12286,9000,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,Vanguard Inv UK Ltd - Lifestratgy 60% Eqty Acc (GBP),Collective Funds,B3TYHH9,GB00B3TYHH97,327.083,211.8212,30/10/2023,GBP,69283.11,1,,GBP,69283,65947.2,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,Vanguard Invest Lifestrategy - 40 Percent Equity Acc (GBP),Collective Funds,B3ZHN96,GB00B3ZHN960,42.67,177.1088,30/10/2023,GBP,7557.23,1,,GBP,7557,7776.95,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,Amundi MSCI Emerging Markets - SRI PAB UCITS (MSRG) GBP,Exchange Traded Funds,BKTHWG1,LU1861138961,72,39.51,31/10/2023,GBP,2844.72,1,,GBP,2845,3503.74,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,DB X-Trackers (XDEV) - MSCI World Value Factor,Exchange Traded Funds,BRCJ8L0,IE00BL25JM42,185,30.52,31/10/2023,GBP,5646.2,1,,GBP,5646,5452.15,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,Fidelity Inv Mgmt LUX - Global Dividend W Acc Nav GBP,Collective Funds,BJVDYY2,LU1033663052,2347.85,2.351,31/10/2023,GBP,5519.8,1,,GBP,5520,5188.75,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,Invesco Physical (SGLP) - Secured Gold Lkd Nts (GBP),Exchange Traded Funds,B4PYKC6,IE00B579F325,16,158.35,31/10/2023,GBP,2533.6,1,,GBP,2534,2538.29,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,IShares III Plc (SWDA) - MSCI World Acc (GBP),Exchange Traded Funds,B4L60Z9,IE00B4L5Y983,65,64.7349,31/10/2023,GBP,4207.77,1,,GBP,4208,4104.01,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,iShares UK Credit Bond - Index Fund (IE) D Acc (GBP),Collective Funds,BD0NC47,IE00BD0NC474,686.48,9.571,31/10/2023,GBP,6570.3,1,,GBP,6570,6680,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,Morgan Stanley IF - Global Quality Z Acc (GBP),Collective Funds,BMG7GC2,LU2502369130,241.425,25.57,31/10/2023,GBP,6173.24,1,,GBP,6173,6166,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,UBS Lux Fund (UBTP) - Blm Barc Tips1-10 HD (GBP),Exchange Traded Funds,BYWK760,LU1459801947,359,13.8837,31/10/2023,GBP,4984.25,1,,GBP,4984,5379.14,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,Vanguard Investment Series - Global Bd Indx Hdgd Acc (GBP),Collective Funds,B50W2R1,IE00B50W2R13,32.29,138.7774,31/10/2023,GBP,4481.12,1,,GBP,4481,5015.64,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,920363,782427,XTrackers (IE) PLC MSCI World - Momentum UCITS E,Exchange Traded Funds,BRCJ8M1,IE00BL25JP72,161,37.37,31/10/2023,GBP,6016.57,1,,GBP,6017,6223.95,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,Aberdeen Std SICAV II Global - Smaller Companies D Acc USD,Collective Funds,BQPB311,LU2530218614,910.029,9.6351,31/10/2023,USD,8768.22,1,31/10/2023,USD,8768,13753,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,Fidelity (LUX) Global Dividend - Y Accum NAV (USD),Collective Funds,B4QNKH7,LU0605515963,629.68,24.8,31/10/2023,USD,15616.06,1,31/10/2023,USD,15616,16504,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,FundSmith SICAV - Equity Fund I Acc (USD),Collective Funds,B9QN5S8,LU0893933373,545.62,31.467,31/10/2023,USD,17169.02,1,31/10/2023,USD,17169,16721.08,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,iShares Developed World - Index Fund (IE) D Acc (USD),Collective Funds,BD0NCN6,IE00BD0NCN62,1206.93,16.288,31/10/2023,USD,19658.48,1,31/10/2023,USD,19658,20630,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,IShares II Plc - Tips Shs (IDTP) USD,Exchange Traded Funds,B1GJFH9,IE00B1FZSC47,50,222.8646,31/10/2023,USD,11143.23,1,31/10/2023,USD,11143,12389,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,Vanguard Inv Ser Gbl Bd - Idx Instl Hgd (USD),Collective Funds,B18GCB1,IE00B18GCB14,66.24,144.355,31/10/2023,USD,9562.08,1,31/10/2023,USD,9562,11003,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,Xtrackers (IE) Plc (XDEM) - MSCI World Momentum (USD),Exchange Traded Funds,BYW4SY7,IE00BL25JP72,389,45.305,30/10/2023,USD,17623.64,1,31/10/2023,USD,17624,20567.31,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,921635,784691,Xtrackers (IE) Plc (XDEV) - MSCI World Value Ucits (USD),Exchange Traded Funds,BYW4SW5,IE00BL25JM42,494,36.99,31/10/2023,USD,18273.06,1,31/10/2023,USD,18273,19246.81,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,931398,785298,Credit Agricole (CS) 6y Dvpld - Mkts 6.4% ESG Inc 03/11/27 GBP,Structured Investments,BMCQRB9,XS2299253935,41000,69.8,30/10/2023,GBP,28618,1,,GBP,28618,41000,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,931398,785298,DVAM Global Equity Focus - Strategy PCP A1 Acc GBP,Collective Funds,BN7HSN3,IE00BN7HSN31,2417.673,11.147,26/10/2023,GBP,26949.8,1,,GBP,26950,28755.81,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,Aberdeen Std SICAV II Global - Smaller Companies D Acc GBP,Collective Funds,BQPB2Z8,LU2530218457,1484.185,10.7016,31/10/2023,GBP,15883.15,1,,GBP,15883,26104,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,BlackRock iShares Dev World - ESG Screened Idx Fd D Acc USD,Collective Funds,BYZ8K17,IE00BYZ8K175,2191.52,16.023,31/10/2023,USD,35114.72,0.824062628759786,31/10/2023,GBP,28937,23623.44,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,DB X-Trackers (XDEV) - MSCI World Value Factor,Exchange Traded Funds,BRCJ8L0,IE00BL25JM42,1288,30.52,31/10/2023,GBP,39309.76,1,,GBP,39310,36295.38,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,FIDELITY FUNDS - US Dollar Bond Acc Y (USD),Collective Funds,B2PMBD4,LU0346392482,1202.78,15.53,31/10/2023,USD,18679.17,0.824062628759786,31/10/2023,GBP,15393,16727.69,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,Fidelity Inv Mgmt LUX - Global Dividend W Acc Nav GBP,Collective Funds,BJVDYY2,LU1033663052,16970.97,2.351,31/10/2023,GBP,39898.75,1,,GBP,39899,38048.91,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,FundSmith SICAV - Equity Fund I Acc (GBP),Collective Funds,BMH4M80,LU1053186349,1154.72,36.39,31/10/2023,GBP,42020.26,1,,GBP,42020,45681,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,FundSmith SICAV - Equity Fund I Acc (USD),Collective Funds,B9QN5S8,LU0893933373,1086.1,31.467,31/10/2023,USD,34176.31,0.824062628759786,31/10/2023,GBP,28163,19126.78,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,Invesco Management - Bond Fund C Acc (USD),Collective Funds,BFLV103,LU1775948141,2445.38,9.76,31/10/2023,USD,23866.91,0.824062628759786,31/10/2023,GBP,19668,20369.55,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,Invesco Physical Gold (SGLS) - GB Hedged ETC (GBP),Exchange Traded Funds,BLF0JQ0,XS2183935605,367,44.57,31/10/2023,GBP,16357.19,1,,GBP,16357,15197.46,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,922061,786122,iShares UK Credit Bond - Index Fund (IE) D Acc (GBP),Collective Funds,BD0NC47,IE00BD0NC474,3616.26,9.571,31/10/2023,GBP,34611.22,1,,GBP,34611,42418,0,0
