ExtractTime,DatabaseDate,PlanID,PlanNumber,AccountRef,AccountType,CurrencyISO,PostingDate,Details,Amount,StatementKey
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/07/2022,Balance Brought Forward,-1017.86,0
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/07/2022,Administration Charge period up to 30-JUN-2022,-183.3,4002
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,30/09/2022,Interest,-4.34,4003
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/10/2022,Administration Charge period up to 30-SEP-2022,-177.9,4102
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,31/12/2022,Interest,-5,4202
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/01/2023,Administration Charge period up to 31-DEC-2022,-175.6,4203
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,31/03/2023,Interest,-14.09,4204
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/04/2023,Administration Charge period up to 31-MAR-2023,-198.3,4302
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,30/06/2023,Interest,-22.68,4303
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/07/2023,Administration Charge period up to 30-JUN-2023,-192.1,4402
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,30/09/2023,Interest,-27.3,4403
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/10/2023,Administration Charge period up to 30-SEP-2023,-197.8,20231001
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,10177643900,General Transactions Account,EUR,01/11/2023 14:29:30,Current Balance,-2216.27,99999999
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,177643900,General Transactions Account,USD,01/11/2023 14:29:30,Balance Brought Forward,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,177643900,General Transactions Account,USD,01/11/2023 14:29:30,Current Balance,0,99999999
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,677643900,General Transactions Account,CAD,01/11/2023 14:29:30,Balance Brought Forward,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,677643900,General Transactions Account,CAD,01/11/2023 14:29:30,Current Balance,0,99999999
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,77643900,General Transactions Account,GBP,01/11/2023 14:29:30,Balance Brought Forward,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,916783,776439,77643900,General Transactions Account,GBP,01/11/2023 14:29:30,Current Balance,0,99999999
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,10178150700,General Transactions Account,EUR,01/11/2023 14:29:30,Balance Brought Forward,0,0
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,10178150700,General Transactions Account,EUR,01/11/2023 14:29:30,Current Balance,0,99999999
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,178150700,General Transactions Account,USD,30/09/2022,Balance Brought Forward,-44.46,0
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,178150700,General Transactions Account,USD,30/09/2022,Interest,-0.47,1502
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,178150700,General Transactions Account,USD,31/12/2022,Interest,-0.62,1702
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,178150700,General Transactions Account,USD,31/03/2023,Interest,-0.6,1703
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,178150700,General Transactions Account,USD,30/06/2023,Interest,-0.56,1802
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,178150700,General Transactions Account,USD,30/09/2023,Interest,-0.57,1902
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,178150700,General Transactions Account,USD,01/11/2023 14:29:30,Current Balance,-47.28,99999999
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,01/07/2022,Balance Brought Forward,-289.07,0
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,01/07/2022,Fund Adviser Fee period up to 30-JUN-2022,-190.88,3302
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,01/07/2022,Establishment Charge period up to 30-JUN-2022,-233,3303
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,01/07/2022,Administration Charge period up to 30-JUN-2022,-114.5,3304
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,30/09/2022,Interest,-7.1,3305
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,01/10/2022,Fund Adviser Fee period up to 30-SEP-2022,-184.02,3402
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,01/10/2022,Establishment Charge period up to 30-SEP-2022,-233,3403
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,01/10/2022,Administration Charge period up to 30-SEP-2022,-114.5,3404
01/11/2023 14:29:30,01/11/2023 06:39:13,919763,781507,78150700,General Transactions Account,GBP,31/12/2022,Interest,-15.49,3502
