ExtractTime,DatabaseDate,PlanID,PlanNumber,PolicyNumber,RiderNumber,SumAssured,CoverageType,BenefitStatus,PremiumStatus,BenefitRiskCessationDate,BenefitPremiumCessationDate
01/11/2023 14:29:30,01/11/2023 06:39:13,951315,220000132,220000132,0,250000,,In Force,Premium Paying,16/06/2043,16/06/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,951315,220000132,220000132,1,250000,,In Force,Premium Paying,16/06/2042,16/06/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,951339,220000156,220000156,0,100000,,In Force,Premium Paying,12/07/2041,12/07/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,951339,220000156,220000156,1,100000,,In Force,Premium Paying,12/07/2040,12/07/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,951341,220000158,220000158,0,200000,,Withdrawn,,05/07/2055,05/07/2055
01/11/2023 14:29:30,01/11/2023 06:39:13,951341,220000158,220000158,1,200000,,Withdrawn,,05/07/2049,05/07/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,951342,220000159,220000159,0,100000,,Withdrawn,,05/07/2055,05/07/2055
01/11/2023 14:29:30,01/11/2023 06:39:13,951342,220000159,220000159,1,100000,,Withdrawn,,05/07/2054,05/07/2054
01/11/2023 14:29:30,01/11/2023 06:39:13,951347,220000164,220000164,0,100000,,Withdrawn,,05/09/2059,05/09/2059
01/11/2023 14:29:30,01/11/2023 06:39:13,951347,220000164,220000164,1,100000,,Withdrawn,,05/09/2058,05/09/2058
01/11/2023 14:29:30,01/11/2023 06:39:13,954946,220000254,220000254,0,200000,,Withdrawn,,14/07/2042,14/07/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,955479,220000279,220000279,0,100000,,In Force,Premium Paying,01/08/2045,01/08/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,955480,220000280,220000280,0,100000,,In Force,Premium Paying,01/08/2045,01/08/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,955551,220000298,220000298,0,100000,,Proposal,,20/07/2050,20/07/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,955552,220000299,220000299,0,100000,,Proposal,,20/07/2050,20/07/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,955552,220000299,220000299,1,100000,,Proposal,,20/07/2050,20/07/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,955863,220000323,220000323,0,300000,,In Force,Premium Paying,29/08/2045,29/08/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,955864,220000324,220000324,0,200000,,Proposal,,28/07/2045,28/07/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,955864,220000324,220000324,1,200000,,Proposal,,28/07/2045,28/07/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,955868,220000328,220000328,0,100000,,In Force,Premium Paying,29/08/2045,29/08/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,957612,220000465,220000465,0,150000,,Proposal,,19/09/2037,19/09/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,957612,220000465,220000465,1,150000,,Proposal,,19/09/2037,19/09/2037
