ExtractTime,DatabaseDate,PlanID,PlanNumber,PolicyId,FundCode,FundISINCode,FundDescription,UnitType,UnitsHeld,BidPrice,PriceDate,FundCurrencyISO,FundCurrencyValue,ExchangeRate,ExchangeRateDate,ValuationCurrencyISO,ValuationCurrencyValue
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J01,GB0007586224,J01 Invesco Bond,A,111.4055,2.844412,30/10/2023,USD,316.88,1,,USD,316.88
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J01,GB0007586224,J01 Invesco Bond,I,438.6488,2.844412,30/10/2023,USD,1247.7,1,,USD,1247.7
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J38,GB0007494551,J38 Invesco Emerging Markets Equity,A,146.3126,2.562489,30/10/2023,USD,374.92,1,,USD,374.92
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J38,GB0007494551,J38 Invesco Emerging Markets Equity,I,566.173,2.562489,30/10/2023,USD,1450.81,1,,USD,1450.81
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J39,GB0007495301,J39 Schroder ISF US Smaller Companies Impact (USD),A,44.6695,5.315952,30/10/2023,USD,237.46,1,,USD,237.46
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J39,GB0007495301,J39 Schroder ISF US Smaller Companies Impact (USD),I,174.2515,5.315952,30/10/2023,USD,926.31,1,,USD,926.31
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,A,113.949,3.49381,30/10/2023,USD,398.12,1,,USD,398.12
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,I,443.3873,3.49381,30/10/2023,USD,1549.11,1,,USD,1549.11
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,L13,IM00B4L42B35,L13 Templeton Emerging Markets Bond,A,193.6364,0.742269,30/10/2023,USD,143.73,1,,USD,143.73
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,L13,IM00B4L42B35,L13 Templeton Emerging Markets Bond,I,752.4355,0.742269,30/10/2023,USD,558.51,1,,USD,558.51
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,L18,IM00B4LN5444,L18 JPM Global Growth,A,162.1707,1.641213,30/10/2023,USD,266.16,1,,USD,266.16
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,L18,IM00B4LN5444,L18 JPM Global Growth,I,591.6981,1.641213,30/10/2023,USD,971.1,1,,USD,971.1
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,P67,GB00B1FH3L40,P67 Mellon Global Bond,A,363.6623,0.891064,30/10/2023,USD,324.05,1,,USD,324.05
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,P67,GB00B1FH3L40,P67 Mellon Global Bond,I,1295.452,0.891064,30/10/2023,USD,1154.33,1,,USD,1154.33
01/11/2023 14:29:30,01/11/2023 06:39:13,929233,PN100009951,100009951,R107,IM00B4W7J766,R107 Mellon Global Bond (USD),A,18351.7952,0.886305,30/10/2023,USD,16265.29,1.36864,31/10/2023,SGD,22261.33
01/11/2023 14:29:30,01/11/2023 06:39:13,929233,PN100009951,100009951,R152,IM00BH7JGT99,R152 - Invesco Global Founders & Owners (USD),A,3350.2597,4.449086,30/10/2023,USD,14905.59,1.36864,31/10/2023,SGD,20400.39
01/11/2023 14:29:30,01/11/2023 06:39:13,929233,PN100009951,100009951,R173,IM00BVXLM660,R173 Ninety One GS Global Strategic Equity,A,5261.5746,3.480744,30/10/2023,USD,18314.19,1.36864,31/10/2023,SGD,25065.53
01/11/2023 14:29:30,01/11/2023 06:39:13,929233,PN100009951,100009951,R187,IM00BD08JB87,R187 JPM Global Growth,A,11354.7976,1.634978,30/10/2023,USD,18564.84,1.36864,31/10/2023,SGD,25408.58
01/11/2023 14:29:30,01/11/2023 06:39:13,929233,PN100009951,100009951,R195,IM00BYWYJM22,R195 CT (Lux) Responsible Global Equity (USD),A,9988.3431,2.020747,30/10/2023,USD,20183.91,1.36864,31/10/2023,SGD,27624.51
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,A,1639.146,3.49381,30/10/2023,USD,5726.86,1,,USD,5726.86
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,I,949.9419,3.49381,30/10/2023,USD,3318.92,1,,USD,3318.92
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),A,12686.4809,0.487155,30/10/2023,USD,6180.28,1,,USD,6180.28
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),I,7150.2512,0.487155,30/10/2023,USD,3483.28,1,,USD,3483.28
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,L22,IM00B3PJ1Y35,L22 PIMCO Global Real Return,A,7004.0201,1.014833,30/10/2023,USD,7107.91,1,,USD,7107.91
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,L22,IM00B3PJ1Y35,L22 PIMCO Global Real Return,I,4063.1484,1.014833,30/10/2023,USD,4123.42,1,,USD,4123.42
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,A,5934.5433,1.346378,30/10/2023,USD,7990.14,1,,USD,7990.14
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,I,3496.9631,1.346378,30/10/2023,USD,4708.23,1,,USD,4708.23
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),A,8724.8204,0.911751,30/10/2023,GBP,7954.86,1.211384,31/10/2023,USD,9636.39
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),I,5102.8037,0.911751,30/10/2023,GBP,4652.49,1.211384,31/10/2023,USD,5635.95
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,J84,GB0005609796,J84 Fidelity Sustainable Europe Equity,A,4259.8017,1.474814,30/10/2023,EUR,6282.42,1,,EUR,6282.42
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,J84,GB0005609796,J84 Fidelity Sustainable Europe Equity,I,3339.9301,1.474814,30/10/2023,EUR,4925.78,1,,EUR,4925.78
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,P74,IM00B1TRL619,P74 Invesco Euro Corporate Bond,A,768.832,1.255825,30/10/2023,EUR,965.52,1,,EUR,965.52
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,P74,IM00B1TRL619,P74 Invesco Euro Corporate Bond,I,644.5842,1.255825,30/10/2023,EUR,809.48,1,,EUR,809.48
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,R16,GB0005228837,R16 CT Select European Equity (GBP),A,288.5869,9.633353,30/10/2023,GBP,2780.06,1.146565,31/10/2023,EUR,3187.52
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,R16,GB0005228837,R16 CT Select European Equity (GBP),I,226.2707,9.633353,30/10/2023,GBP,2179.75,1.146565,31/10/2023,EUR,2499.23
01/11/2023 14:29:30,01/11/2023 06:39:13,619579,Q500000602,14167312,J84,GB0005609796,J84 Fidelity Sustainable Europe Equity,A,1122.3669,1.474814,30/10/2023,EUR,1655.28,1,,EUR,1655.28
01/11/2023 14:29:30,01/11/2023 06:39:13,619579,Q500000602,14167312,P67,GB00B1FH3L40,P67 Mellon Global Bond,A,5282.5146,0.891064,30/10/2023,USD,4707.06,0.945309,31/10/2023,EUR,4449.63
01/11/2023 14:29:30,01/11/2023 06:39:13,619579,Q500000602,14167312,P74,IM00B1TRL619,P74 Invesco Euro Corporate Bond,A,1839.2456,1.255825,30/10/2023,EUR,2309.77,1,,EUR,2309.77
01/11/2023 14:29:30,01/11/2023 06:39:13,619579,Q500000602,14167312,R16,GB0005228837,R16 CT Select European Equity (GBP),A,149.1456,9.633353,30/10/2023,GBP,1436.77,1.146565,31/10/2023,EUR,1647.35
01/11/2023 14:29:30,01/11/2023 06:39:13,619579,Q500000602,14167312,R30,IM00B28VQ442,R30 FSSA Asian Equity Plus,A,1143.5151,1.589391,30/10/2023,USD,1817.49,0.945309,31/10/2023,EUR,1718.09
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,J87,GB0008011735,J87 Fidelity Euro Bond Fund,A,5671.5282,1.215432,30/10/2023,EUR,6893.36,1,,EUR,6893.36
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,J87,GB0008011735,J87 Fidelity Euro Bond Fund,I,292.7652,1.215432,30/10/2023,EUR,355.84,1,,EUR,355.84
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),A,11036.0755,0.487155,30/10/2023,USD,5376.28,0.945309,31/10/2023,EUR,5082.25
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),I,572.1721,0.487155,30/10/2023,USD,278.74,0.945309,31/10/2023,EUR,263.5
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,A,5593.0019,1.346378,30/10/2023,USD,7530.29,0.945309,31/10/2023,EUR,7118.45
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,I,289.3168,1.346378,30/10/2023,USD,389.53,0.945309,31/10/2023,EUR,368.23
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),A,8796.3398,0.911751,30/10/2023,GBP,8020.07,1.146565,31/10/2023,EUR,9195.53
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),I,456.3714,0.911751,30/10/2023,GBP,416.1,1.146565,31/10/2023,EUR,477.09
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,P74,IM00B1TRL619,P74 Invesco Euro Corporate Bond,A,5599.4026,1.255825,30/10/2023,EUR,7031.87,1,,EUR,7031.87
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,P74,IM00B1TRL619,P74 Invesco Euro Corporate Bond,I,287.1618,1.255825,30/10/2023,EUR,360.62,1,,EUR,360.62
01/11/2023 14:29:30,01/11/2023 06:39:13,620156,Q500001563,14216134,J43,GB0007494338,J43 Ninety One GS Global Multi-Asset Income,A,11244.4625,2.069322,30/10/2023,USD,23268.41,1,,USD,23268.41
01/11/2023 14:29:30,01/11/2023 06:39:13,620156,Q500001563,14216134,P18,GB0030503253,P18 Canaccord Genuity Opportunity (USD),A,7322.7566,3.26961,30/10/2023,USD,23942.56,1,,USD,23942.56
01/11/2023 14:29:30,01/11/2023 06:39:13,620156,Q500001563,14216134,P69,GB00B1FH3T26,P69 BlackRock Sustainable Energy,A,2382.9953,1.107645,30/10/2023,USD,2639.51,1,,USD,2639.51
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,A,14727.4565,3.49381,30/10/2023,USD,51454.93,0.945309,31/10/2023,EUR,48640.81
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,I,857.6755,3.49381,30/10/2023,USD,2996.56,0.945309,31/10/2023,EUR,2832.68
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,J87,GB0008011735,J87 Fidelity Euro Bond Fund,A,55406.7588,1.215432,30/10/2023,EUR,67343.15,1,,EUR,67343.15
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,J87,GB0008011735,J87 Fidelity Euro Bond Fund,I,3226.8164,1.215432,30/10/2023,EUR,3921.98,1,,EUR,3921.98
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),A,139291.3866,0.487155,30/10/2023,USD,67856.5,0.945309,31/10/2023,EUR,64145.36
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),I,8113.7244,0.487155,30/10/2023,USD,3952.64,0.945309,31/10/2023,EUR,3736.47
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,A,52493.2732,1.346378,30/10/2023,USD,70675.79,0.945309,31/10/2023,EUR,66810.46
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,I,3057.5136,1.346378,30/10/2023,USD,4116.57,0.945309,31/10/2023,EUR,3891.43
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),A,77528.897,0.911751,30/10/2023,GBP,70687.05,1.146565,31/10/2023,EUR,81047.3
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),I,4515.5042,0.911751,30/10/2023,GBP,4117.02,1.146565,31/10/2023,EUR,4720.43
01/11/2023 14:29:30,01/11/2023 06:39:13,620763,Q500002891,14251572,L37,IM00BKS8M093,L37 Schroder Global Multi-Asset Income (GBP HDG),A,10807.3471,0.821751,30/10/2023,GBP,8880.95,1.146565,31/10/2023,EUR,10182.59
01/11/2023 14:29:30,01/11/2023 06:39:13,620763,Q500002891,14251572,L37,IM00BKS8M093,L37 Schroder Global Multi-Asset Income (GBP HDG),I,6950.3402,0.821751,30/10/2023,GBP,5711.45,1.146565,31/10/2023,EUR,6548.55
