ExtractTime,DatabaseDate,PlanID,PlanNumber,FirstPolicyNumber,PremiumStatus,PremiumCurrencyISO,TotalPremiumPaid,PremiumDueDate
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,Paid Up,USD,11500,10/11/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,827744,PN100003369,100003371,Lapsed,USD,3654.25,12/08/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,929233,PN100009951,100009951,Premium Paying,SGD,132000,08/10/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,Premium Paying,USD,70500,01/12/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,616032,Q003173189,14468507,Surrendered,GBP,82000,07/02/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,616116,Q003230210,14600433,Surrendered,USD,217171.6,01/12/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,616890,Q003749804,15834608,Surrendered,GBP,97440,29/08/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,Paid Up,EUR,33550,01/05/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,627936,Q004450289,17373955,Lapsed,GBP,1500,18/09/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,627937,Q004609491,17617368,Lapsed,USD,6293.93,29/07/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,627939,Q004609890,17617911,Lapsed,USD,4928.19,15/01/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,618763,Q004865359,18011836,Surrendered,USD,36000,27/05/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,619433,Q500000346,14145307,Surrendered,GBP,25500,01/01/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,619513,Q500000471,14146290,Surrendered,GBP,60202,15/02/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,142987,Q500000473,14146015,,EUR,35016.9,
01/11/2023 14:29:30,01/11/2023 06:39:13,619538,Q500000523,14151134,Surrendered,EUR,48600,01/10/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,619579,Q500000602,14167312,Paid Up,EUR,56150,26/10/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,Premium Paying,EUR,44750,18/10/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,145333,Q500000830,14177006,,EUR,37140,
01/11/2023 14:29:30,01/11/2023 06:39:13,145529,Q500000918,14179975,,EUR,23774.4,
01/11/2023 14:29:30,01/11/2023 06:39:13,619774,Q500000938,14181293,Surrendered,EUR,50450,25/10/2017
