ExtractTime,DatabaseDate,PlanID,PlanNumber,FirstPolicyNumber,PlanType,ProductName,PolicyCount,PlanStatus,PlanCurrencyISO,ValuationCurrencyISO,CommencementDate,Premium,PremiumStatus,PremiumFrequency,PremiumPaymentMethod,CCNumber,CCExpiryDate,IntermediaryID,IntermediaryReference,IntermediaryName,IntermediaryAddress1,IntermediaryAddress2,IntermediaryAddress3,IntermediaryAddress4,IntermediaryAddress5,IntermediaryPostCode,IntermediaryCountry,FundAdvisorReference,FundAdvisorName,TermInMonths
01/11/2023 14:29:30,01/11/2023 06:39:13,951315,220000132,220000132,Life,International Protector Middle East,1,In Force,USD,GBP,16/06/2023,3511.75,Premium Paying,Annual,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,240
01/11/2023 14:29:30,01/11/2023 06:39:13,951339,220000156,220000156,Life,International Protector Middle East,1,In Force,GBP,GBP,12/07/2023,175.14,Premium Paying,Monthly,ROW CC,************3257,042025,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,216
01/11/2023 14:29:30,01/11/2023 06:39:13,951341,220000158,220000158,Life,International Protector Middle East,1,Withdrawn,USD,GBP,05/07/2023,140.07,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,384
01/11/2023 14:29:30,01/11/2023 06:39:13,951342,220000159,220000159,Life,International Protector Middle East,1,Withdrawn,USD,GBP,05/07/2023,142.87,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,384
01/11/2023 14:29:30,01/11/2023 06:39:13,951347,220000164,220000164,Life,International Protector Middle East,1,Withdrawn,USD,GBP,05/09/2023,59.55,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,432
01/11/2023 14:29:30,01/11/2023 06:39:13,954946,220000254,220000254,Life,International Protector Middle East,1,Withdrawn,GBP,GBP,14/07/2023,242.93,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,228
01/11/2023 14:29:30,01/11/2023 06:39:13,955479,220000279,220000279,Life,International Protector Middle East,1,In Force,GBP,GBP,01/08/2023,34.77,Premium Paying,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,264
01/11/2023 14:29:30,01/11/2023 06:39:13,955480,220000280,220000280,Life,International Protector Middle East,1,In Force,GBP,GBP,01/08/2023,89.49,Premium Paying,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,264
01/11/2023 14:29:30,01/11/2023 06:39:13,955551,220000298,220000298,Life,International Protector Middle East,1,Withdrawn,GBP,GBP,20/07/2023,22.73,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,324
01/11/2023 14:29:30,01/11/2023 06:39:13,955552,220000299,220000299,Life,International Protector Middle East,1,Withdrawn,GBP,GBP,20/07/2023,58.29,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,324
01/11/2023 14:29:30,01/11/2023 06:39:13,955863,220000323,220000323,Life,International Protector Middle East,1,In Force,GBP,GBP,29/08/2023,250.93,Premium Paying,Monthly,ROW CC,************8056,072025,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,264
01/11/2023 14:29:30,01/11/2023 06:39:13,955864,220000324,220000324,Life,International Protector Middle East,1,Withdrawn,GBP,GBP,28/07/2023,260.26,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,264
01/11/2023 14:29:30,01/11/2023 06:39:13,955868,220000328,220000328,Life,International Protector Middle East,1,In Force,GBP,GBP,29/08/2023,257.8,Premium Paying,Monthly,ROW CC,************8056,072025,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,264
01/11/2023 14:29:30,01/11/2023 06:39:13,957612,220000465,220000465,Life,International Protector Middle East,1,Proposal,GBP,GBP,19/09/2023,192.01,,Monthly,Telegraphic Transfer,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,168
01/11/2023 14:29:30,01/11/2023 06:39:13,908762,762498,1,Bond,Reserve - Whole of Life,0,Surrendered,USD,USD,09/03/2006,,,,,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,
01/11/2023 14:29:30,01/11/2023 06:39:13,909119,763167,1,Bond,Reserve - Whole of Life,0,Surrendered,USD,USD,06/10/2006,,,,,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,
01/11/2023 14:29:30,01/11/2023 06:39:13,909998,764769,1,Bond,Reserve - Whole of Life,0,Surrendered,GBP,GBP,05/06/2007,,,,,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,
01/11/2023 14:29:30,01/11/2023 06:39:13,910208,765104,1,Bond,Reserve - Whole of Life,0,Surrendered,GBP,GBP,20/09/2007,,,,,,,7072,0009327712,Skybound Wealth Management SA,20 Route De Pre- Bois,1216 Cointrin Meyrin,,,Geneva,,Switzerland,,,
