"System_Dt","Policy_No","Coverage_No","Coverage_Type_ID","Coverage_Type","Coverage_Curr_ID","Coverage_Curr","Coverage_Amt","Commencement_Dt","Premium_Term","Premium_End_Dt","Coverage_Frequency_ID","Coverage_Frequency","IAP","IAP_Remaining","Indemnity","Coverage_Status_ID","Coverage_Status","Coverage_Payment_Method_ID","Coverage_Payment_Method","Benefit_Description_ID","Benefit_Description","Benefit_Start_Dt","Benefit_End_Dt","Benefit_Amount","Benefit_Amount_Text","Benefit_Amount_Suffix","Benefit_Indexation_Rate","Life_Basis_ID","Life_Basis","Life_Assured_No"
"2023-10-31","PM10001476","0","7","Single premium investment","8","GBP","76631.00","2013-10-15","","","5","Single Payment","","","0.000000000000000000","15","Surrendered","6","Single Premium","","","","","0.00","","","","4","Life Assurance - Last Death",""
"2023-10-31","PM10001964","0","7","Single premium investment","8","GBP","776943.00","2013-07-22","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","4","Life Assurance - Last Death",""
"2023-10-31","PM10002547","0","7","Single premium investment","16","USD","124781.00","2014-01-17","","","5","Single Payment","","","0.000000000000000000","15","Surrendered","6","Single Premium","","","","","0.00","","","","4","Life Assurance - Last Death",""
"2023-10-31","PM10002819","0","7","Single premium investment","16","USD","108252.00","2014-04-17","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","4","Life Assurance - Last Death",""
"2023-10-31","PM10002982","0","7","Single Premium Investment","16","USD","477871.00","2014-06-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10003061","0","7","Single Premium Investment","16","USD","242572.00","2014-05-20","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10003061","1","7","Single Premium Investment","16","USD","52828.00","2014-06-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10003179","0","7","Single Premium Investment","16","USD","420254.00","2014-07-31","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10003179","1","7","Single Premium Investment","16","USD","340122.00","2014-11-06","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10003875","0","7","Single Premium Investment","16","USD","93058.00","2014-12-05","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10004162","0","7","Single Premium Investment","16","USD","417180.00","2015-02-16","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10004211","0","7","Single Premium Investment","16","USD","371526.00","2015-04-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10004553","0","7","Single Premium Investment","16","USD","333119.00","2015-05-18","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10004553","1","7","Single Premium Investment","16","USD","10581.00","2015-06-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10005110","0","7","Single Premium Investment","16","USD","119352.00","2015-07-29","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10005110","1","7","Single Premium Investment","16","USD","49257.00","2015-09-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10005110","2","7","Single Premium Investment","16","USD","6077.00","2016-07-07","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10005555","0","7","Single Premium Investment","16","USD","494388.00","2015-09-09","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10005650","0","7","Single Premium Investment","16","USD","201203.00","2015-10-21","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10005650","1","7","Single Premium Investment","16","USD","108711.00","2016-09-05","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10005650","2","7","Single Premium Investment","16","USD","20232.00","2016-10-04","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10006472","0","7","Single Premium Investment","16","USD","248251.00","2015-10-28","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10007029","0","7","Single Premium Investment","16","USD","187144.00","2016-10-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10009519","0","7","Single Premium Investment","8","GBP","272231.00","2018-01-04","","","5","Single Payment","","","0.000000000000000000","15","Surrendered","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10009714","1","7","Single Premium Investment","8","GBP","153905.00","2018-02-12","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10009714","0","7","Single Premium Investment","8","GBP","153343.00","2018-02-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10009979","0","7","Single Premium Investment","8","GBP","547286.00","2018-03-19","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10010117","0","7","Single Premium Investment","8","GBP","248964.00","2018-04-19","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10011019","0","7","Single Premium Investment","8","GBP","140685.00","2018-10-09","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10011120","0","7","Single Premium Investment","8","GBP","533340.00","2018-09-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10011162","0","7","Single Premium Investment","8","GBP","129809.00","2018-10-09","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10011442","0","7","Single Premium Investment","8","GBP","170401.00","2018-12-17","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10011442","1","7","Single Premium Investment","8","GBP","37917.00","2020-05-19","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10011823","0","7","Single Premium Investment","8","GBP","261729.00","2019-01-25","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10012159","0","7","Single Premium Investment","8","GBP","385894.00","2019-03-28","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10012159","1","7","Single Premium Investment","8","GBP","17801.00","2019-07-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10012229","0","7","Single Premium Investment","8","GBP","179014.00","2019-04-30","","","5","Single Payment","","","0.000000000000000000","15","Surrendered","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10012420","0","7","Single Premium Investment","8","GBP","286645.00","2019-05-31","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
