"System_Dt","Policy_No","Fund_ID","ISIN","SEDOL","Citi_Code","Fund_Name","Asset_Status_ID","Asset_Status","Fund_Curr_ID","Fund_Curr","Initial_Unit_Holding","Accumulation_Unit_Holding","Fund_Unit_Holding","First_Purchase_Dt","Last_Purchase_Dt","Initial_Price","Accumulation_Price","Nominal_Price","Price_Dt","Investment_Currency_Val","Policy_Currency_Val","Exchange_Rate","Bookcost","Policy_Currency_Book_Cost","Investment_Accrued_Interest","Policy_Accrued_Interest"
"2023-10-30","PM10001964","","LU1053186349","BMH4M80","KM5J","Fundsmith Equity Feeder I Acc GBP","2","Active","8","GBP","","","2593.170000","2023-10-10","2023-10-16","","","36.1597000000","2023-10-30","93768.250000","93768.250000","1.00000","95538.000000","95538.000000000","0.000000","0.000000"
"2023-10-30","PM10001964","","LU1809996801","BZ1MKF4","","Schroder GAIA Helix Fund Class C Acc Hedged GBP","2","Active","8","GBP","","","1328.390000","2023-10-06","2023-10-11","","","108.3800000000","2023-10-30","143970.910000","143970.910000","1.00000","144755.000000","144755.000000000","0.000000","0.000000"
"2023-10-30","PM10001964","","IE00BGHHDH35","BGHHDH3","","Lazard Rathmore Alternative Fund C Acc GBP Hedged","2","Active","8","GBP","","","952.290000","2023-10-10","2023-10-13","","","100.3569000000","2023-10-30","95568.870000","95568.870000","1.00000","96503.000000","96503.000000000","0.000000","0.000000"
"2023-10-30","PM10001964","","IE00B9F5YL18","B9MSLC3","","Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF GBP","2","Active","8","GBP","","","3742.000000","2023-10-11","2023-10-17","","","18.3912500000","2023-10-30","68820.060000","68820.060000","1.00000","71650.680000","71650.680000000","0.000000","0.000000"
"2023-10-30","PM10001964","","LU2502369130","9782845","","Morgan Stanley Global Quality Z GBP","2","Active","8","GBP","","","2688.157000","2023-03-13","2023-03-16","","","25.2200000000","2023-10-30","67795.320000","67795.320000","1.00000","66074.900000","66074.900000000","0.000000","0.000000"
"2023-10-30","PM10001964","","IE00B4L5Y983","B4L60Z9","","iShares Core MSCI World UCITS ETF USD (Acc) GBP LN","2","Active","8","GBP","","","2137.000000","2023-10-10","2023-10-13","","","64.6100000000","2023-10-30","138071.570000","138071.570000","1.00000","143289.740000","143289.740000000","0.000000","0.000000"
"2023-10-30","PM10001964","","IE00B5L65R35","B5L65R3","NCN9","iShares GBP Corp Bond 0-5 yr UCITS ETF (GBP)","2","Active","8","GBP","","","1123.000000","2023-10-10","2023-10-12","","","96.9150000000","2023-10-30","108835.550000","108835.550000","1.00000","108470.500000","108470.500000000","0.000000","0.000000"
"2023-10-30","PM10001964","","LU0274209237","B1WG983","","DB X Trackers MSCI Europe In","2","Active","8","GBP","","","1065.000000","2023-10-11","2023-10-13","","","64.8000000000","2023-10-30","69012.000000","69012.000000","1.00000","71597.390000","71597.390000000","0.000000","0.000000"
"2023-10-30","PM10001964","","IE00BG47J908","BH0LWD8","","JPMorgan Ultra Short Income UCITS ETF Acc GBP","2","Active","8","GBP","","","1023.000000","2023-10-10","2023-10-12","","","106.3425000000","2023-10-30","108788.380000","108788.380000","1.00000","108536.870000","108536.870000000","0.000000","0.000000"
"2023-10-30","PM10002819","","IE00B8GKDB10","B82D4M2","","Vanguard FTSE All-World High Dividend Yield UCITS ETF USD Dist USD LN","2","Active","16","USD","","","474.000000","2017-03-08","2017-03-10","","","55.9075000000","2023-10-30","26500.160000","26500.160000","1.00000","24985.880000","24985.880000000","0.000000","0.000000"
"2023-10-30","PM10002819","","IE00B44CGS96","B44CGS9","","iShares US Aggregate Bond UCITS ETF USD (Dist)","2","Active","16","USD","","","354.000000","2017-03-08","2017-03-10","","","88.2500000000","2023-10-30","31240.500000","31240.500000","1.00000","36541.880000","36541.880000000","0.000000","0.000000"
"2023-10-30","PM10002819","","IE00B5BMR087","B50YWZ5","","iShares Core S&P 500 UCITS ETF USD (Acc) USD LN","2","Active","16","USD","","","112.000000","2017-03-08","2017-03-10","","","433.9700000000","2023-10-30","48604.640000","48604.640000","1.00000","25203.120000","25203.120000000","0.000000","0.000000"
"2023-10-30","PM10002819","","IE00B3F81K65","B3F81K6","","iShares Global Government Bond UCITS ETF","2","Active","16","USD","","","48.000000","2017-03-08","2017-03-10","","","86.2200000000","2023-10-30","4138.560000","4138.560000","1.00000","4973.190000","4973.190000000","0.000000","0.000000"
