"Run Number","Datafile Name","Extract Frequency","Record Count","Extract Date","Datafeed Name","Hash Check"
453739,"Client Contacts","DAY",848,20231031,"SWM Datafeed ZIO","ae1611e33e3d79bc48d53735cc95603e"
453739,"Client","DAY",472,20231031,"SWM Datafeed ZIO","46b065e68cfe80e947cf93f2a854dc79"
453739,"Insured Benefits","DAY",938,20231031,"SWM Datafeed ZIO","e799c542b23d6ec223f7c993bdde4f1a"
453739,"Investment Strategy","DAY",1171,20231031,"SWM Datafeed ZIO","8040fef9a2ad75820ea0984990ee85da"
453739,"Payments History","DAY",2642,20231031,"SWM Datafeed ZIO","27d32d2871cc57b6a5622f88eed2dc97"
453739,"Pending Operations","DAY",37,20231031,"SWM Datafeed ZIO","6e1314371c1850085f6fa6da0f52a904"
453739,"Policy Client Link","DAY",1082,20231031,"SWM Datafeed ZIO","ecee8645fea27588d0347d83856de44a"
453739,"Policy Funds","DAY",697,20231031,"SWM Datafeed ZIO","c793420729deac6446aa5231bd4404f3"
453739,"Policy","DAY",483,20231031,"SWM Datafeed ZIO","be20eb87bc6ab35298ef71b40b8f00f7"
453739,"Policy Premium","DAY",483,20231031,"SWM Datafeed ZIO","37ac6efcc004da25980452776e228523"
453739,"Transaction History","DAY",2119,20231031,"SWM Datafeed ZIO","bab50fe0593f5f27302a11d0c1f279dc"
