"Run Number","Policy Number","Policy Reference","Client Number","Benefit Code","Benefit Description","Benefit Status Code","Benefit Status Description","Benefit Basis Code","Benefit Basis Description","Benefit Currency","Benefit Amount"
453739,2180766,"A011528320","1000792443","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",8400.00
453739,2180774,"A011528320","1000792443","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",7200.00
453739,3027299,"","1000256311","010","Life Cover","A","In-Force","E","Exclusive","USD",350000.00
453739,3027299,"","1000256311","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3032740,"","1000697803","010","Life Cover","A","In-Force","E","Exclusive","USD",400000.00
453739,3032740,"","1000697803","020","Critical Illness","A","In-Force","E","Exclusive","USD",400000.00
453739,3035594,"","1000488666","010","Life Cover","A","In-Force","E","Exclusive","USD",1000000.00
453739,3035594,"","1000488666","020","Critical Illness","A","In-Force","E","Exclusive","USD",500000.00
453739,3048530,"","1000793450","010","Life Cover","A","In-Force","E","Exclusive","USD",1000000.00
453739,3048530,"","1000793450","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3048530,"","1000793450","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",200000.00
453739,3048530,"","1000793450","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",3257.46
453739,3053601,"","1000439189","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3053601,"","1000439189","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3053601,"","1000439189","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",100000.00
453739,3053601,"","1000439189","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",4345.92
453739,3053862,"","1000590577","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3053862,"","1000590577","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3055599,"","1000915483","010","Life Cover","A","In-Force","E","Exclusive","USD",490000.00
453739,3055599,"","1000915483","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3055768,"","1000906495","010","Life Cover","A","In-Force","E","Exclusive","GBP",175000.00
453739,3055768,"","1000906496","010","Life Cover","A","In-Force","E","Exclusive","GBP",175000.00
453739,3055768,"","1000906495","020","Critical Illness","A","In-Force","E","Exclusive","GBP",25000.00
453739,3055768,"","1000906496","020","Critical Illness","A","In-Force","E","Exclusive","GBP",25000.00
453739,3057435,"","1000749619","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3057435,"","1000749619","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3058148,"","1000915747","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3058148,"","1000915747","020","Critical Illness","A","In-Force","E","Exclusive","USD",500000.00
