"Run Number","Policy Number","Policy Reference","Premium Type","Effective Date","Fund Code","Strategy Percentage","Fund Name"
453739,2104865,"","Regular",20150210,"V6USD",100.00,"HSBC World Selection Portfolio 2 USD LU0447610683"
453739,2104865,"","Single",20150210,"V6USD",100.00,"HSBC World Selection Portfolio 2 USD LU0447610683"
453739,2105439,"","Single",20161101,"MJGBP",15.00,"Janus Hend Horizon Gbl Prop Eq £ A2 (LU0264739185)"
453739,2105439,"","Single",20161101,"QSGBP",30.00,"CT American Select fund"
453739,2105439,"","Single",20161101,"SAGBP",20.00,"JPM Natural Resources Fund Class A"
453739,2105439,"","Single",20161101,"VHGBP",35.00,"CT UK Equity Income Class 1"
453739,2108624,"A035337047","Single",20171001,"V6USD",100.00,"HSBC World Selection Portfolio 2 USD LU0447610683"
453739,2129973,"","Regular",20150427,"BIUSD",7.00,"JPM Global Natural Resources USD A Acc"
453739,2129973,"","Regular",20150427,"JXUSD",7.00,"Investec GSF American Equity Fund A  LU0345774631"
453739,2129973,"","Regular",20150427,"MMUSD",7.00,"Templeton Emerg Mkts Eq Acc"
453739,2129973,"","Regular",20150427,"PDUSD",35.00,"Templeton Global Total Return Fund Class A Acc"
453739,2129973,"","Regular",20150427,"WMUSD",37.00,"ZI US Dollar Money fund"
453739,2129973,"","Regular",20150427,"WNGBP",7.00,"ZI Sterling Money fund"
453739,2134561,"","Regular",20210801,"USD6F",35.00,"ZME US dollar Adventurous"
453739,2134561,"","Regular",20210801,"USD6G",35.00,"ZME US dollar Blue Chip"
453739,2134561,"","Regular",20210801,"USD6L",30.00,"ZME US dollar Performance"
453739,2138876,"","Regular",20230516,"B0170",30.00,"Zurich Allocated Passive 100% Equity Fund - USD"
453739,2138876,"","Regular",20230516,"USD6K",20.00,"ZUR Zurich Blue Balanced"
453739,2138876,"","Regular",20230516,"USD6R",25.00,"ZUR Zurich Blue Performance"
453739,2138876,"","Regular",20230516,"USD6T",25.00,"ZUR Zurich Blue Adventurous"
