"Run Number","Policy Number","Policy Reference","Amount Paid","Date Paid","Premium Currency","Premium Type"
453739,2134561,"",700.00,"202210","USD","Regular"
453739,2134561,"",700.00,"202211","USD","Regular"
453739,2134561,"",700.00,"202212","USD","Regular"
453739,2134561,"",700.00,"202301","USD","Regular"
453739,2134561,"",700.00,"202302","USD","Regular"
453739,2134561,"",700.00,"202303","USD","Regular"
453739,2134561,"",700.00,"202304","USD","Regular"
453739,2134561,"",700.00,"202305","USD","Regular"
453739,2134561,"",700.00,"202306","USD","Regular"
453739,2134561,"",700.00,"202307","USD","Regular"
453739,2134561,"",1400.00,"202308","USD","Regular"
453739,2134561,"",700.00,"202310","USD","Regular"
453739,2138876,"",571.00,"202210","EUR","Regular"
453739,2138876,"",571.00,"202211","EUR","Regular"
453739,2138876,"",571.00,"202212","EUR","Regular"
453739,2138876,"",571.00,"202301","EUR","Regular"
453739,2138876,"",571.00,"202302","EUR","Regular"
453739,2138876,"",571.00,"202303","EUR","Regular"
453739,2138876,"",571.00,"202304","EUR","Regular"
453739,2138876,"",571.00,"202305","EUR","Regular"
453739,2138876,"",571.00,"202306","EUR","Regular"
453739,2138876,"",571.00,"202307","EUR","Regular"
453739,2138876,"",571.00,"202308","EUR","Regular"
453739,2138876,"",571.00,"202309","EUR","Regular"
453739,2138876,"",571.00,"202310","EUR","Regular"
453739,2144809,"",325.00,"202210","USD","Regular"
453739,2144809,"",325.00,"202211","USD","Regular"
453739,2144809,"",310.00,"202212","USD","Regular"
453739,2144809,"",15.00,"202212","USD","Regular"
453739,2144809,"",295.00,"202301","USD","Regular"
453739,2144809,"",40.00,"202301","USD","Regular"
453739,2144809,"",-295.00,"202301","USD","Regular"
453739,2144809,"",-40.00,"202301","USD","Regular"
453739,2144809,"",295.00,"202301","USD","Regular"
453739,2144809,"",40.00,"202301","USD","Regular"
453739,2144809,"",310.00,"202302","USD","Regular"
453739,2144809,"",-310.00,"202302","USD","Regular"
453739,2144809,"",310.00,"202302","USD","Regular"
453739,2144809,"",15.00,"202302","USD","Regular"
453739,2144809,"",-310.00,"202302","USD","Regular"
453739,2144809,"",-15.00,"202302","USD","Regular"
453739,2144809,"",310.00,"202302","USD","Regular"
453739,2144809,"",15.00,"202302","USD","Regular"
453739,2144809,"",325.00,"202303","USD","Regular"
453739,2144809,"",-325.00,"202303","USD","Regular"
453739,2144809,"",325.00,"202303","USD","Regular"
453739,2144809,"",325.00,"202304","USD","Regular"
453739,2144809,"",-325.00,"202304","USD","Regular"
453739,2144809,"",325.00,"202304","USD","Regular"
453739,2144809,"",325.00,"202305","USD","Regular"
453739,2144809,"",325.00,"202306","USD","Regular"
