"Run Number","Policy Number","Policy Reference","Fund Name","Fund Code","Fund Currency","Plan Currency","Fund Price","Fund Number Of Units Held","Investment Value Fund Currency","Investment Value Plan Currency","Valuation Date","Exchange Rate","Average Purchase Price","Allocation Percentage"
453739,2134561,"","ZME US dollar Adventurous","USD6F","USD","USD",1.4786,3919.556,5795.45,5795.45,20231031,1.000000,1.5975,35.08
453739,2134561,"","ZME US dollar Blue Chip","USD6G","USD","USD",1.3831,4155.073,5746.88,5746.88,20231031,1.000000,1.5068,34.79
453739,2134561,"","ZME US dollar Performance","USD6L","USD","USD",1.4932,3333.062,4976.92,4976.92,20231031,1.000000,1.6101,30.13
453739,2138876,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","EUR",1.5539,2708.077,4208.08,3935.46,20231031,1.069271,1.6050,30.44
453739,2138876,"","ZUR Zurich Blue Balanced","USD6K","USD","EUR",1.2543,2200.912,2760.60,2581.75,20231031,1.069271,1.3166,19.97
453739,2138876,"","ZUR Zurich Blue Performance","USD6R","USD","EUR",1.3149,2603.615,3423.49,3201.70,20231031,1.069271,1.3912,24.77
453739,2138876,"","ZUR Zurich Blue Adventurous","USD6T","USD","EUR",1.4025,2445.496,3429.80,3207.60,20231031,1.069271,1.4811,24.81
453739,2144809,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.5539,1618.519,2515.01,2515.01,20231031,1.000000,1.5993,40.17
453739,2144809,"","ZUR Threadneedle (Lux) Global Select","USD6C","USD","USD",1.4843,1281.159,1901.62,1901.62,20231031,1.000000,1.5155,30.37
453739,2144809,"","ZME US dollar Adventurous","USD6F","USD","USD",1.4786,1247.545,1844.62,1844.62,20231031,1.000000,1.5564,29.46
453739,2144817,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.5539,2492.660,3873.34,3873.34,20231031,1.000000,1.5835,40.09
453739,2144817,"","ZUR Threadneedle (Lux) Global Select","USD6C","USD","USD",1.4843,1979.878,2938.73,2938.73,20231031,1.000000,1.4952,30.42
453739,2144817,"","ZME US dollar Adventurous","USD6F","USD","USD",1.4786,1926.773,2848.92,2848.92,20231031,1.000000,1.5368,29.49
453739,2145945,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.5539,3137.228,4874.93,4874.93,20231031,1.000000,1.5661,40.08
453739,2145945,"","ZUR Threadneedle (Lux) Global Select","USD6C","USD","USD",1.4843,2497.739,3707.39,3707.39,20231031,1.000000,1.4754,30.48
453739,2145945,"","ZME US dollar Adventurous","USD6F","USD","USD",1.4786,2422.648,3582.12,3582.12,20231031,1.000000,1.5210,29.45
453739,2148642,"","Zurich Allocated Passive 80% Equity Fund - EUR","B0164","EUR","EUR",1.6043,1025.572,1645.32,1645.32,20231031,1.000000,1.6281,30.20
453739,2148642,"","ZME Euro Adventurous","VTEUR","EUR","EUR",1.5468,698.602,1080.59,1080.59,20231031,1.000000,1.5932,19.84
453739,2148642,"","ZME Euro Blue Chip","VVEUR","EUR","EUR",1.3354,813.273,1086.04,1086.04,20231031,1.000000,1.3689,19.94
453739,2148642,"","ZME Euro Performance","WAEUR","EUR","EUR",1.4832,1102.816,1635.69,1635.69,20231031,1.000000,1.5140,30.03
453739,2160610,"R1J31QID","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.5539,734.796,1141.79,1141.79,20231031,1.000000,1.6602,29.95
453739,2160610,"R1J31QID","ZUR Zurich Blue Balanced","USD6K","USD","USD",1.2543,616.710,773.53,773.53,20231031,1.000000,1.3188,20.29
