"Run Number","Policy Number","Policy Reference","Regular Premium Currency","Regular Premium Frequency Code","Regular Premium Frequency Desc","Regular Premium Amount","Total Outstanding","Premium Status Description","Oldest Outstanding Premium Dte","Latest Outstanding Premium Dte","Next Due Date","Last Premium Paid Date","Premium Holiday Option","Escalation","Count Of Outstanding Premiums"
453739,2104865,"","USD",12,"Monthly",0.00,0.00,"Paid","","","","030215","NO","",0
453739,2105439,"","GBP",99,"Single Payment",0.00,0.00,"Paid","","","","291116","NO","",0
453739,2108624,"A035337047","USD",99,"Single Payment",0.00,0.00,"Paid","","","","121017","NO","",0
453739,2129973,"","USD",12,"Monthly",0.00,0.00,"paid","","","","041015","NO","",0
453739,2134561,"","USD",12,"Monthly",700.00,0.00,"Paid to Date","202312","","","311023","NO","",0
453739,2138876,"","EUR",12,"Monthly",571.00,0.00,"Paid to Date","202311","","","201023","NO","",0
453739,2140098,"","USD",99,"Single Payment",0.00,0.00,"Paid","","","","260513","NO","",0
453739,2144809,"","USD",12,"Monthly",325.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,2144817,"","USD",12,"Monthly",500.00,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,2144884,"","USD",12,"Monthly",1000.00,0.00,"Paid to Date","","","","120623","NO","",0
453739,2145945,"","USD",12,"Monthly",655.00,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,2148642,"","EUR",12,"Monthly",351.00,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,2160610,"R1J31QID","USD",12,"Monthly",850.00,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,2163188,"YYUAKLEH","USD",12,"Monthly",833.00,0.00,"Paid to Date","202311","","","060923","NO","",0
453739,2173921,"A026341537","USD",12,"Monthly",0.00,0.00,"Paid","","","","171115","NO","",0
453739,2174154,"","USD",99,"Single Payment",0.00,0.00,"Paid","","","","220114","NO","",0
453739,2176921,"A021046321","USD",99,"Single Payment",0.00,0.00,"Paid","","","","010415","NO","",0
453739,2177668,"A030205595","USD",12,"Monthly",0.00,0.00,"Paid","","","","010818","NO","",0
453739,2180766,"A011528320","USD",12,"Monthly",0.00,0.00,"paid","","","","270917","NO","",0
453739,2180774,"A011528320","USD",12,"Monthly",0.00,0.00,"paid","","","","011017","NO","",0
453739,2180791,"A011528320","USD",12,"Monthly",0.00,0.00,"paid","","","","270917","NO","",0
453739,3027299,"","USD",0,"",0.00,0.00,"Lapse","","","","250521","N/A","",0
453739,3032740,"","USD",12,"Monthly",92.77,0.00,"Premium Due","202310","","","051023","NO","",0
453739,3035594,"","USD",12,"Monthly",417.28,0.00,"Paid to Date","202311","","","231023","NO","",0
453739,3048530,"","USD",1,"Annual",3257.46,0.00,"Lapse","","","","200720","N/A","",0
453739,3053601,"","USD",12,"Monthly",362.16,0.00,"Lapse","","","","081017","N/A","",0
453739,3053862,"","USD",12,"Monthly",126.41,0.00,"Paid to Date","202311","","","311023","NO","",0
453739,3055599,"","USD",12,"Monthly",76.53,0.00,"Lapse","","","","260721","N/A","",0
453739,3055768,"","GBP",12,"Monthly",138.00,0.00,"Lapse","","","","210417","N/A","",0
453739,3057435,"","USD",12,"Monthly",156.85,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3058148,"","USD",12,"Monthly",213.96,0.00,"Paid to Date","202311","","","101023","NO","",0
453739,3060155,"","USD",12,"Monthly",231.81,0.00,"Lapse","","","","030517","N/A","",0
453739,3060450,"A025761149","AED",12,"Monthly",898.67,0.00,"Lapse","","","","060323","N/A","",0
453739,3062382,"","AED",12,"Monthly",3493.03,0.00,"Lapse","","","","200219","N/A","",0
453739,3062390,"","AED",12,"Monthly",918.72,0.00,"Lapse","","","","200219","N/A","",0
453739,3062701,"","USD",12,"Monthly",136.00,0.00,"Lapse","","","","260617","N/A","",0
453739,3062825,"","USD",12,"Monthly",149.76,0.00,"Lapse","","","","170723","N/A","",0
453739,3063763,"","USD",1,"Annual",568.09,0.00,"Lapse","","","","050820","N/A","",0
453739,3066832,"","GBP",12,"Monthly",388.83,0.00,"Lapse","","","","250917","N/A","",0
453739,3069838,"","USD",12,"Monthly",348.32,0.00,"Paid to Date","202311","","","271023","NO","",0
453739,3069879,"","USD",12,"Monthly",390.42,0.00,"Paid to Date","202311","","","271023","NO","",0
453739,3100717,"A011673803","USD",12,"Monthly",385.43,0.00,"Lapse","","","","031021","N/A","",0
453739,3101495,"","USD",12,"Monthly",199.34,0.00,"Lapse","","","","020920","N/A","",0
453739,3101657,"","USD",12,"Monthly",146.72,0.00,"Premium Due","202310","","","011123","NO","",0
453739,3101878,"","GBP",12,"Monthly",111.16,0.00,"Lapse","","","","240321","N/A","",0
453739,3103855,"","AED",12,"Monthly",118.17,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3103938,"","USD",12,"Monthly",271.74,271.74,"Outstanding","202309","","","011123","NO","",1
453739,3104789,"","AED",12,"Monthly",153.01,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3105787,"","USD",12,"Monthly",38.20,0.00,"Lapse","","","","290821","N/A","",0
453739,3105949,"","USD",12,"Monthly",91.14,0.00,"Lapse","","","","200123","N/A","",0
453739,3106475,"","USD",12,"Monthly",592.31,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,3106611,"","USD",12,"Monthly",506.54,0.00,"Premium Due","202310","","","021023","NO","",0
453739,3106668,"","AED",12,"Monthly",716.67,0.00,"Lapse","","","","130518","N/A","",0
453739,3106856,"","EUR",12,"Monthly",66.22,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3108768,"","AED",12,"Monthly",355.27,0.00,"Lapse","","","","040821","N/A","",0
453739,3110030,"","USD",12,"Monthly",86.91,0.00,"Paid to Date","202311","","","271023","NO","",0
453739,3112970,"","AED",12,"Monthly",716.67,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3113353,"","USD",12,"Monthly",271.83,0.00,"Lapse","","","","010818","N/A","",0
453739,3113561,"","USD",12,"Monthly",114.45,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,3114059,"","AED",12,"Monthly",683.87,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3115122,"","USD",12,"Monthly",36.83,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3115227,"","USD",12,"Monthly",146.71,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,3115631,"","USD",12,"Monthly",96.13,0.00,"Paid to Date","202312","","","241023","NO","",0
453739,3116620,"","GBP",12,"Monthly",90.11,0.00,"Lapse","","","","240419","N/A","",0
453739,3117015,"","AED",12,"Monthly",204.85,0.00,"Lapse","","","","070721","N/A","",0
453739,3119301,"","USD",12,"Monthly",190.61,0.00,"Lapse","","","","041217","N/A","",0
453739,3119351,"","USD",12,"Monthly",307.74,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3120214,"DWMHZ9OB","USD",12,"Monthly",231.38,0.00,"Paid to Date","202312","","","200923","NO","",0
453739,3121348,"","USD",12,"Monthly",113.58,0.00,"Paid to Date","202311","","","201023","NO","",0
453739,3121470,"","USD",12,"Monthly",199.34,0.00,"Lapse","","","","010821","N/A","",0
