Policy Number,Asset Name,Asset Code,Units,Price Currency,Price,Price Date,Value in Price Currency,Book Cost,Profit/Loss,Percent,Policy Currency,Value In Policy Currency,Valuation Date
95662U,BBVA 6Y Classic Autocall on 4 Index GBP,BLH3G00,16000.0,GBP,0.6692,2023-06-27,10707.2,16057.5,-5350.3,-33.32,GBP,10707.2,2023-06-30
95662U,Societe Generale 6Y UK Growth Autocall G,BKQMXF5,31000.0,GBP,0.909,2023-06-27,28179.0,30453.0,-2274.0,-7.47,GBP,28179.0,2023-06-30
95662U,Brown Advisory US Small Cap Blend Fund B,BBMT2S3,1171.5,GBP,15.2,2023-06-30,17806.76,13856.07,3950.69,28.51,GBP,17806.76,2023-06-30
95662U,CGWM Diversity Fund A GBP Acc,BFXG4N0,19911.39,GBP,1.0088,2023-06-30,20086.61,19444.66,641.95,3.3,GBP,20086.61,2023-06-30
95662U,Causeway Defined Growth Fund Class A Hdg,BJVQR19,15991.37,GBP,1.0474,2023-06-30,16749.36,17000.0,-250.64,-1.47,GBP,16749.36,2023-06-30
95662U,Fidelity Special Situations W Acc GBP,B88V3X4,403.12,GBP,41.93,2023-06-30,16902.82,14820.23,2082.59,14.05,GBP,16902.82,2023-06-30
95662U,LF LINDSELL TRAIN UK EQUITY FUND INC,B18B9V5,4181.33,GBP,3.4757,2023-06-30,14533.04,13920.29,612.75,4.4,GBP,14533.04,2023-06-30
95662U,Man GLG Strategic Bond Class D GBP,BGT6GQ8,9212.51,GBP,1.4216,2023-06-30,13096.5,13994.58,-898.08,-6.42,GBP,13096.5,2023-06-30
95662U,Rathbone Ethical Bond Fund R Acc,3095713,6874.12,GBP,1.9108,2023-06-30,13135.07,14200.12,-1065.05,-7.5,GBP,13135.07,2023-06-30
96301R,BLACKROCK ISHARES DEVELOPED WORLD EX TOB,BYZ8K06,366.07,GBP,15.429,2023-06-30,5648.09,5375.36,272.73,5.07,GBP,5648.09,2023-06-30
96301R,BlackRock GF World Technology Fund D2 GB,B8KMZ39,57.25,GBP,56.43,2023-06-30,3230.62,3225.22,5.4,0.17,GBP,3230.62,2023-06-30
96301R,LINDSELL TRAIN GLOBAL EQUITY FUND B,B3NS4D2,1372.31,GBP,4.1741,2023-06-30,5728.17,5375.36,352.81,6.56,GBP,5728.17,2023-06-30
96301R,VANGUARD LIFESTRATEGY 40% EQUITY FD ACC,B3ZHN96,16.46,GBP,181.7084,2023-06-30,2990.38,3225.22,-234.84,-7.28,GBP,2990.38,2023-06-30
96301R,VANGUARD LIFESTRATEGY 60% EQ AA,B3TYHH9,18.94,GBP,217.0162,2023-06-30,4111.13,4000.0,111.13,2.78,GBP,4111.13,2023-06-30
96301R,CASH STERLING,CASHGBP,3208.6,GBP,1.0,2023-06-30,3208.6,3208.6,0.0,0.0,GBP,3208.6,2023-06-30
96956G,BBVA 4Y Income Note on 2 Index GBP,X007741,19000.0,GBP,0.9617,2023-06-27,18272.3,19057.5,-785.2,-4.12,GBP,18272.3,2023-06-30
96956G,BLACKROCK ISHARES DEVELOPED WORLD EX TOB,BYZ8K06,516.21,GBP,15.429,2023-06-30,7964.6,7814.38,150.22,1.92,GBP,7964.6,2023-06-30
96956G,JO Hambro Global Opportunities A GBP,B89PQM5,4758.68,GBP,2.449,2023-06-30,11654.01,11768.51,-114.5,-0.97,GBP,11654.01,2023-06-30
96956G,LINDSELL TRAIN GLOBAL EQUITY FUND B,B3NS4D2,3693.15,GBP,4.1741,2023-06-30,15415.57,14715.68,699.89,4.76,GBP,15415.57,2023-06-30
96956G,VANGUARD LIFESTRATEGY 40% EQUITY FD ACC,B3ZHN96,107.04,GBP,181.7084,2023-06-30,19449.27,20549.33,-1100.06,-5.35,GBP,19449.27,2023-06-30
96956G,VANGUARD LIFESTRATEGY 60% EQ AA,B3TYHH9,90.0,GBP,217.0162,2023-06-30,19532.07,20037.44,-505.37,-2.52,GBP,19532.07,2023-06-30
96956G,CASH STERLING,CASHGBP,4781.75,GBP,1.0,2023-06-30,4781.75,4781.75,0.0,0.0,GBP,4781.75,2023-06-30
96951P,21Shares Bitcoin ETP,BJQYSB5,917.0,USD,10.394,2023-06-30,9531.3,12788.19,-3256.89,-25.47,USD,9531.3,2023-06-30
96951P,21Shares Bitwise Select 10 Large Cap Cry,BK9R250,700.0,USD,12.308,2023-06-29,8615.6,12781.13,-4165.53,-32.59,USD,8615.6,2023-06-30
96951P,21Shares Crypto Basket Index ETP,BFZ5RL4,964.0,USD,7.485,2023-06-30,7215.54,12795.73,-5580.19,-43.61,USD,7215.54,2023-06-30
