ExtractTime,DatabaseDate,PlanID,PlanNumber,InvestmentDescription,InvestmentCategory,FundCode,FundISINCode,UnitsHeld,UnitPrice,PriceDate,InvestmentCurrencyISO,InvestmentCurrencyValue,ExchangeRate,ExchangeRateDate,ValuationCurrencyISO,ValuationCurrencyValue,BookCost,InterestAccruedValue,InterestAccruedDays
03/10/2023 15:13:24,03/10/2023 06:50:10,916783,776439,FundSmith SICAV - Equity T Acc (EUR),Collective Funds,B4K9WN1,LU0690375182,226.9,53.6569,02/10/2023,EUR,12174.75,1,02/10/2023,EUR,12175,9000,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,916783,776439,POLAR CAPITAL FUND - Global Tech I (EUR),Collective Funds,B42N9S5,IE00B42N9S52,177.165,72.41,02/10/2023,EUR,12828.52,1,02/10/2023,EUR,12829,9000,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,919763,781507,Vanguard Inv UK Ltd - Lifestratgy 60% Eqty Acc (GBP),Collective Funds,B3TYHH9,GB00B3TYHH97,327.083,216.6204,02/10/2023,GBP,70852.85,1,,GBP,70853,65947.2,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,919763,781507,Vanguard Invest Lifestrategy - 40 Percent Equity Acc (GBP),Collective Funds,B3ZHN96,GB00B3ZHN960,42.67,180.2562,02/10/2023,GBP,7691.53,1,,GBP,7692,7776.95,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,Amundi MSCI Emerging Markets - SRI PAB UCITS (MSRG) GBP,Exchange Traded Funds,BKTHWG1,LU1861138961,72,40.63,02/10/2023,GBP,2925.36,1,,GBP,2925,3503.74,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,DB X-Trackers (XDEV) - MSCI World Value Factor,Exchange Traded Funds,BRCJ8L0,IE00BL25JM42,185,31.6,02/10/2023,GBP,5846,1,,GBP,5846,5452.15,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,FIDELITY INV MGMT LUX - Global Dividend W Acc Nav GBP,Collective Funds,BJVDYY2,LU1033663052,2347.85,2.367,02/10/2023,GBP,5557.36,1,,GBP,5557,5188.75,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,Invesco Physical (SGLP) - Secured Gold Lkd Nts (GBP),Exchange Traded Funds,B4PYKC6,IE00B579F325,16,145.67,02/10/2023,GBP,2330.72,1,,GBP,2331,2538.29,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,IShares III Plc (SWDA) - MSCI World Acc (GBP),Exchange Traded Funds,B4L60Z9,IE00B4L5Y983,65,66.6675,02/10/2023,GBP,4333.39,1,,GBP,4333,4104.01,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,iShares UK Credit Bond - Index Fund (IE) D Acc (GBP),Collective Funds,BD0NC47,IE00BD0NC474,686.48,9.604,02/10/2023,GBP,6592.95,1,,GBP,6593,6680,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,Morgan Stanley IF - Global Quality Z Acc (GBP),Collective Funds,BMG7GC2,LU2502369130,241.425,26.15,02/10/2023,GBP,6313.26,1,,GBP,6313,6166,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,UBS Lux Fund (UBTP) - Blm Barc Tips1-10 HD (GBP),Exchange Traded Funds,BYWK760,LU1459801947,359,13.8781,02/10/2023,GBP,4982.24,1,,GBP,4982,5379.14,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,Vanguard Investment Series - Global Bd Indx Hdgd Acc (GBP),Collective Funds,B50W2R1,IE00B50W2R13,32.29,139.9005,02/10/2023,GBP,4517.39,1,,GBP,4517,5015.64,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,920363,782427,XTrackers (IE) PLC MSCI World - Momentum UCITS E,Exchange Traded Funds,BRCJ8M1,IE00BL25JP72,161,37.97,02/10/2023,GBP,6113.17,1,,GBP,6113,6223.95,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,921635,784691,Aberdeen Std SICAV II Global - Smaller Companies D Acc USD,Collective Funds,BQPB311,LU2530218614,910.029,10.2274,02/10/2023,USD,9307.23,1,02/10/2023,USD,9307,13753,0,0
03/10/2023 15:13:24,03/10/2023 06:50:10,921635,784691,Fidelity (LUX) Global Dividend - Y Accum NAV (USD),Collective Funds,B4QNKH7,LU0605515963,629.68,24.96,02/10/2023,USD,15716.81,1,02/10/2023,USD,15717,16504,0,0
