ExtractTime,DatabaseDate,PlanID,PlanNumber,PolicyId,FundCode,FundISINCode,FundDescription,UnitType,UnitsHeld,BidPrice,PriceDate,FundCurrencyISO,FundCurrencyValue,ExchangeRate,ExchangeRateDate,ValuationCurrencyISO,ValuationCurrencyValue
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J01,GB0007586224,J01 Invesco Bond,A,111.7224,2.865178,29/09/2023,USD,320.1,1,,USD,320.1
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J01,GB0007586224,J01 Invesco Bond,I,438.6488,2.865178,29/09/2023,USD,1256.81,1,,USD,1256.81
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J38,GB0007494551,J38 Invesco Emerging Markets Equity,A,146.724,2.629535,29/09/2023,USD,385.82,1,,USD,385.82
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J38,GB0007494551,J38 Invesco Emerging Markets Equity,I,566.173,2.629535,29/09/2023,USD,1488.77,1,,USD,1488.77
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J39,GB0007495301,J39 Schroder ISF US Smaller Companies Impact (USD),A,44.7941,5.86455,29/09/2023,USD,262.7,1,,USD,262.7
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J39,GB0007495301,J39 Schroder ISF US Smaller Companies Impact (USD),I,174.2515,5.86455,29/09/2023,USD,1021.91,1,,USD,1021.91
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,A,114.2726,3.56166,29/09/2023,USD,407,1,,USD,407
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,I,443.3873,3.56166,29/09/2023,USD,1579.19,1,,USD,1579.19
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,L13,IM00B4L42B35,L13 Templeton Emerging Markets Bond,A,194.1792,0.747367,29/09/2023,USD,145.12,1,,USD,145.12
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,L13,IM00B4L42B35,L13 Templeton Emerging Markets Bond,I,752.4355,0.747367,29/09/2023,USD,562.35,1,,USD,562.35
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,L18,IM00B4LN5444,L18 JPM Global Growth,A,162.6217,1.698737,29/09/2023,USD,276.25,1,,USD,276.25
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,L18,IM00B4LN5444,L18 JPM Global Growth,I,591.6981,1.698737,29/09/2023,USD,1005.14,1,,USD,1005.14
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,P67,GB00B1FH3L40,P67 Mellon Global Bond,A,364.6941,0.901636,29/09/2023,USD,328.82,1,,USD,328.82
03/10/2023 15:13:24,03/10/2023 06:50:10,627862,PN000079004,79004,P67,GB00B1FH3L40,P67 Mellon Global Bond,I,1295.452,0.901636,29/09/2023,USD,1168.03,1,,USD,1168.03
03/10/2023 15:13:24,03/10/2023 06:50:10,929233,PN100009951,100009951,R107,IM00B4W7J766,R107 Mellon Global Bond (USD),A,18022.6676,0.896876,29/09/2023,USD,16164.1,1.3715,02/10/2023,SGD,22169.06
03/10/2023 15:13:24,03/10/2023 06:50:10,929233,PN100009951,100009951,R152,IM00BH7JGT99,R152 - Invesco Global Founders & Owners (USD),A,3302.9182,4.67674,29/09/2023,USD,15446.89,1.3715,02/10/2023,SGD,21185.41
03/10/2023 15:13:24,03/10/2023 06:50:10,929233,PN100009951,100009951,R173,IM00BVXLM660,R173 Ninety One GS Global Strategic Equity,A,5179.4472,3.548091,29/09/2023,USD,18377.15,1.3715,02/10/2023,SGD,25204.26
03/10/2023 15:13:24,03/10/2023 06:50:10,929233,PN100009951,100009951,R187,IM00BD08JB87,R187 JPM Global Growth,A,11181.4337,1.691991,29/09/2023,USD,18918.89,1.3715,02/10/2023,SGD,25947.26
03/10/2023 15:13:24,03/10/2023 06:50:10,929233,PN100009951,100009951,R195,IM00BYWYJM22,R195 CT (Lux) Responsible Global Equity (USD),A,9816.1524,2.115569,29/09/2023,USD,20766.75,1.3715,02/10/2023,SGD,28481.6
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,A,1617.998,3.56166,29/09/2023,USD,5762.76,1,,USD,5762.76
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,J74,GB0005679476,J74 Ninety One GS Global Strategic Equity,I,949.9419,3.56166,29/09/2023,USD,3383.37,1,,USD,3383.37
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),A,12491.0923,0.515345,29/09/2023,USD,6437.22,1,,USD,6437.22
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,J96,GB0003178075,J96 abrdn SICAV I Global Innovation Equity (USD),I,7150.2512,0.515345,29/09/2023,USD,3684.85,1,,USD,3684.85
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,L22,IM00B3PJ1Y35,L22 PIMCO Global Real Return,A,6905.9169,1.024911,29/09/2023,USD,7077.95,1,,USD,7077.95
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,L22,IM00B3PJ1Y35,L22 PIMCO Global Real Return,I,4063.1484,1.024911,29/09/2023,USD,4164.37,1,,USD,4164.37
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,A,5861.1584,1.379711,29/09/2023,USD,8086.7,1,,USD,8086.7
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,L46,IM00BQSC0R60,L46 Fidelity Global Dividend,I,3496.9631,1.379711,29/09/2023,USD,4824.8,1,,USD,4824.8
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),A,8616.2897,0.937202,29/09/2023,GBP,8075.2,1.211184,02/10/2023,USD,9780.55
03/10/2023 15:13:24,03/10/2023 06:50:10,893016,PN100012554,100012554,L87,IM00BMT6LR61,L87 Fundsmith Equity (GBP),I,5102.8037,0.937202,29/09/2023,GBP,4782.36,1.211184,02/10/2023,USD,5792.32
03/10/2023 15:13:24,03/10/2023 06:50:10,617129,Q003922245,16281255,J84,GB0005609796,J84 Fidelity Sustainable Europe Equity,A,4262.1357,1.550345,29/09/2023,EUR,6607.78,1,,EUR,6607.78
03/10/2023 15:13:24,03/10/2023 06:50:10,617129,Q003922245,16281255,J84,GB0005609796,J84 Fidelity Sustainable Europe Equity,I,3339.9301,1.550345,29/09/2023,EUR,5178.04,1,,EUR,5178.04
03/10/2023 15:13:24,03/10/2023 06:50:10,617129,Q003922245,16281255,P74,IM00B1TRL619,P74 Invesco Euro Corporate Bond,A,769.2526,1.259599,29/09/2023,EUR,968.95,1,,EUR,968.95
