"Run Number","Policy Number","Policy Reference","Fund Name","Fund Code","Fund Currency","Plan Currency","Fund Price","Fund Number Of Units Held","Investment Value Fund Currency","Investment Value Plan Currency","Valuation Date","Exchange Rate","Average Purchase Price","Allocation Percentage"
452037,2134561,"","ZME US dollar Adventurous","USD6F","USD","USD",1.5373,3923.643,6031.81,6031.81,20231018,1.000000,1.5975,35.16
452037,2134561,"","ZME US dollar Blue Chip","USD6G","USD","USD",1.4288,4159.405,5942.95,5942.95,20231018,1.000000,1.5068,34.64
452037,2134561,"","ZME US dollar Performance","USD6L","USD","USD",1.5525,3336.537,5179.97,5179.97,20231018,1.000000,1.6101,30.20
452037,2138876,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","EUR",1.6367,2600.961,4256.99,3993.26,20231018,1.066042,1.6065,30.88
452037,2138876,"","ZUR Zurich Blue Balanced","USD6K","USD","EUR",1.2867,2111.610,2717.00,2548.68,20231018,1.066042,1.3193,19.71
452037,2138876,"","ZUR Zurich Blue Performance","USD6R","USD","EUR",1.3576,2497.107,3390.07,3180.05,20231018,1.066042,1.3945,24.59
452037,2138876,"","ZUR Zurich Blue Adventurous","USD6T","USD","EUR",1.4592,2345.653,3422.77,3210.72,20231018,1.066042,1.4845,24.83
452037,2144809,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.6367,1620.206,2651.79,2651.79,20231018,1.000000,1.5993,40.31
452037,2144809,"","ZUR Threadneedle (Lux) Global Select","USD6C","USD","USD",1.5654,1282.494,2007.61,2007.61,20231018,1.000000,1.5155,30.51
452037,2144809,"","ZME US dollar Adventurous","USD6F","USD","USD",1.5373,1248.845,1919.84,1919.84,20231018,1.000000,1.5564,29.18
452037,2144817,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.6367,2495.260,4083.99,4083.99,20231018,1.000000,1.5835,40.23
452037,2144817,"","ZUR Threadneedle (Lux) Global Select","USD6C","USD","USD",1.5654,1981.943,3102.53,3102.53,20231018,1.000000,1.4952,30.56
452037,2144817,"","ZME US dollar Adventurous","USD6F","USD","USD",1.5373,1928.783,2965.11,2965.11,20231018,1.000000,1.5368,29.21
452037,2145945,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.6367,3142.419,5143.19,5143.19,20231018,1.000000,1.5661,40.21
452037,2145945,"","ZUR Threadneedle (Lux) Global Select","USD6C","USD","USD",1.5654,2501.872,3916.43,3916.43,20231018,1.000000,1.4754,30.62
452037,2145945,"","ZME US dollar Adventurous","USD6F","USD","USD",1.5373,2426.657,3730.49,3730.49,20231018,1.000000,1.5210,29.17
452037,2148642,"","Zurich Allocated Passive 80% Equity Fund - EUR","B0164","EUR","EUR",1.6715,1027.769,1717.91,1717.91,20231018,1.000000,1.6281,30.36
452037,2148642,"","ZME Euro Adventurous","VTEUR","EUR","EUR",1.6168,700.099,1131.92,1131.92,20231018,1.000000,1.5932,20.00
452037,2148642,"","ZME Euro Blue Chip","VVEUR","EUR","EUR",1.3669,815.015,1114.04,1114.04,20231018,1.000000,1.3689,19.69
452037,2148642,"","ZME Euro Performance","WAEUR","EUR","EUR",1.5332,1105.178,1694.45,1694.45,20231018,1.000000,1.5140,29.95
452037,2160610,"R1J31QID","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.6367,735.562,1203.89,1203.89,20231018,1.000000,1.6602,30.35
452037,2160610,"R1J31QID","ZUR Zurich Blue Balanced","USD6K","USD","USD",1.2867,617.353,794.34,794.34,20231018,1.000000,1.3188,20.03
452037,2160610,"R1J31QID","ZUR Zurich Blue Performance","USD6R","USD","USD",1.3576,725.873,985.44,985.44,20231018,1.000000,1.4020,24.84
452037,2160610,"R1J31QID","ZUR Zurich Blue Adventurous","USD6T","USD","USD",1.4592,673.601,982.91,982.91,20231018,1.000000,1.5108,24.78
452037,2163188,"YYUAKLEH","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.6367,431.074,705.53,705.53,20231018,1.000000,1.6768,30.20
452037,2163188,"YYUAKLEH","ZUR Zurich Blue Balanced","USD6K","USD","USD",1.2867,364.338,468.79,468.79,20231018,1.000000,1.3227,20.07
452037,2163188,"YYUAKLEH","ZUR Zurich Blue Performance","USD6R","USD","USD",1.3576,428.648,581.93,581.93,20231018,1.000000,1.4053,24.91
452037,2163188,"YYUAKLEH","ZUR Zurich Blue Adventurous","USD6T","USD","USD",1.4592,397.375,579.84,579.84,20231018,1.000000,1.5159,24.82
452037,2174154,"","Morgan Stanley Sust Emerging Markets Equity Fund","CVUSD","USD","USD",39.3300,205.988,8101.50,8101.50,20231018,1.000000,37.1800,9.51
452037,2174154,"","JPM Global Equity Income C Hedged","F9GBP","GBP","USD",2.8210,4989.449,14075.23,16941.53,20231018,0.830812,2.6290,19.89
452037,2174154,"","Ninety One GSF Globl Strtgic Equity A LU0345770993","MRUSD","USD","USD",196.3500,66.756,13107.54,13107.54,20231018,1.000000,172.0800,15.39
452037,2174154,"","Franklin Templeton Mutual Global Discovery Fund A","Q2USD","USD","USD",23.5200,733.629,17254.95,17254.95,20231018,1.000000,20.8800,20.26
452037,2174154,"","Threadneedle (Lux) Global Select","USDYH","USD","USD",4.0307,5034.485,20292.49,20292.49,20231018,1.000000,3.4991,23.83
452037,2174154,"","Invesco Global Smaller Companies Fund (UK) Acc","VAGBP","GBP","USD",30.2075,260.281,7862.43,9463.54,20231018,0.830812,29.0348,11.11
452037,5239339,"PIC250/07","ZI HSBC Islamic Global Equity Index AC","HFUSD","USD","USD",4.5972,7394.188,33992.56,33992.56,20231018,1.000000,2.6972,46.89
452037,5239339,"PIC250/07","ZI Emirates Global Sukuk A Acc","I3USD","USD","USD",1.4937,7194.911,10747.03,10747.03,20231018,1.000000,1.5600,14.83
452037,5239339,"PIC250/07","ZI Franklin Global Sukuk","USDFX","USD","USD",1.2920,8368.958,10812.69,10812.69,20231018,1.000000,1.3387,14.92
452037,5239339,"PIC250/07","ZI Emirates Emerging Markets Equity","7VUSD","USD","USD",0.8828,19185.203,16936.69,16936.69,20231018,1.000000,1.2166,23.36
452037,5255602,"PIC307/08","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.5863,17860.264,117633.05,117633.05,20231018,1.000000,4.7861,41.14
452037,5255602,"PIC307/08","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.6252,7151.998,61687.41,61687.41,20231018,1.000000,5.9696,21.58
452037,5255602,"PIC307/08","ZI Invesco Developed Small and Mid-Cap Equity $","USDMW","USD","USD",1.6265,65537.108,106596.10,106596.10,20231018,1.000000,2.1155,37.28
452037,5256268,"","ZI BlackRock GF Global Governnment Bond $A2","BPUSD","USD","USD",1.4985,12670.201,18986.29,18986.29,20231018,1.000000,1.6624,10.82
452037,5256268,"","ZI Fidelity Pacific Fund A$","EMUSD","USD","USD",1.4555,18294.057,26626.99,26626.99,20231018,1.000000,1.5175,15.17
452037,5256268,"","ZI Emirates NBD Active Managed Fund B Class","K4USD","USD","USD",1.2993,12840.095,16683.13,16683.13,20231018,1.000000,1.2849,9.50
452037,5256268,"","ZI BlackRock Global Funds World Mining","MGUSD","USD","USD",2.4269,4291.436,10414.88,10414.88,20231018,1.000000,2.6169,5.93
452037,5256268,"","ZI Jupiter Global Funds European Growth.","USDGE","USD","USD",2.6092,12251.534,31966.70,31966.70,20231018,1.000000,1.9240,18.21
452037,5256268,"","ZI Threadneedle (Lux) American","USDXU","USD","USD",1.9760,35858.701,70856.79,70856.79,20231018,1.000000,1.3852,40.37
452037,5259712,"PIC398/08","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.8683,1747.882,13752.85,13752.85,20231018,1.000000,9.0128,30.25
452037,5259712,"PIC398/08","Cautious Fund - Currency US Dollar","CTUSD","USD","USD",2.9005,4669.908,13545.06,13545.06,20231018,1.000000,3.3735,29.80
452037,5259712,"PIC398/08","Defensive Fund - Currency US Dollar","DFUSD","USD","USD",2.0900,4252.894,8888.54,8888.54,20231018,1.000000,2.4696,19.55
452037,5259712,"PIC398/08","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.6252,1075.042,9272.45,9272.45,20231018,1.000000,5.3736,20.40
452037,5714946,"GIB19/07","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.8683,2172.632,17094.92,17094.92,20231018,1.000000,5.4715,100.00
452037,5720632,"F17992","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.8683,993.987,7820.98,7820.98,20231018,1.000000,3.8569,100.00
452037,6201993,"","ZI Canaccord Genuity Opportunity Fund","USDDL","USD","USD",1.7824,3871.882,6901.24,6901.24,20231018,1.000000,1.7943,80.32
452037,6201993,"","ZI Pimco GIS Investment Grade Credit $","USDKP","USD","USD",1.2398,1363.492,1690.45,1690.45,20231018,1.000000,1.2952,19.68
452037,6202553,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.5863,468.523,3085.83,3085.83,20231018,1.000000,6.4680,69.90
452037,6202553,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.6252,154.093,1329.08,1329.08,20231018,1.000000,8.3924,30.10
452037,6202685,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.5863,507.633,3343.42,3343.42,20231018,1.000000,6.4514,69.77
452037,6202685,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.6252,167.949,1448.59,1448.59,20231018,1.000000,8.3428,30.23
452037,6203304,"","ZME US dollar Adventurous","USD6F","USD","USD",1.5373,1692.581,2602.00,2602.00,20231018,1.000000,1.6071,35.11
452037,6203304,"","ZME US dollar Blue Chip","USD6G","USD","USD",1.4288,1800.967,2573.22,2573.22,20231018,1.000000,1.5064,34.72
452037,6203304,"","ZME US dollar Performance","USD6L","USD","USD",1.5525,1439.900,2235.44,2235.44,20231018,1.000000,1.6140,30.17
452037,6203674,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.8683,-12.248,-96.37,-96.37,20231018,1.000000,8.3913,100.00
452037,6203748,"","SPS Medium Risk Portfolio","B0203","USD","USD",1.5176,2086.236,3166.07,3166.07,20231018,1.000000,1.4909,100.00
452037,6205181,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.8683,3188.152,25085.33,25085.33,20231018,1.000000,8.3764,100.00
452037,6206871,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.5863,405.995,2674.00,2674.00,20231018,1.000000,6.6992,50.27
452037,6206871,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.8683,336.147,2644.90,2644.90,20231018,1.000000,8.1961,49.73
