"Run Number","Policy Number","Policy Reference","Transaction Reference","Transaction Type Code","Transaction Type Description","Allocation Date","Transaction Amount","Transaction Currency"
452037,2108624,"A035337047",20230322203742182000,301,"Full Surrender",20230323,-48913.730,"USD"
452037,2134561,"",20221106203905739000,220,"Renewal Premium",20221107,700.000,"USD"
452037,2134561,"",20221206204222198000,220,"Renewal Premium",20221207,700.000,"USD"
452037,2134561,"",20230103203926185000,220,"Renewal Premium",20230104,700.000,"USD"
452037,2134561,"",20230206203932651000,220,"Renewal Premium",20230207,700.000,"USD"
452037,2134561,"",20230305203835374000,220,"Renewal Premium",20230306,700.000,"USD"
452037,2134561,"",20230404203817789000,220,"Renewal Premium",20230405,700.000,"USD"
452037,2134561,"",20230504203651110000,220,"Renewal Premium",20230505,700.000,"USD"
452037,2134561,"",20230606203826853000,220,"Renewal Premium",20230607,700.000,"USD"
452037,2134561,"",20230706203744757000,220,"Renewal Premium",20230707,700.000,"USD"
452037,2134561,"",20230903203639191000,220,"Renewal Premium",20230904,700.000,"USD"
452037,2134561,"",20230903203639212000,220,"Renewal Premium",20230904,700.000,"USD"
452037,2134561,"",20231004203622695000,220,"Renewal Premium",20231005,700.000,"USD"
452037,2138876,"",20221027204014476000,220,"Renewal Premium",20221028,571.000,"EUR"
452037,2138876,"",20221127204002507000,220,"Renewal Premium",20221128,571.000,"EUR"
452037,2138876,"",20230102203942607000,220,"Renewal Premium",20230103,571.000,"EUR"
452037,2138876,"",20230126203932630000,220,"Renewal Premium",20230127,571.000,"EUR"
452037,2138876,"",20230226203927462000,220,"Renewal Premium",20230227,571.000,"EUR"
452037,2138876,"",20230327203846759000,220,"Renewal Premium",20230328,571.000,"EUR"
452037,2138876,"",20230426204306954000,220,"Renewal Premium",20230427,571.000,"EUR"
452037,2138876,"",20230515203619239000,400,"Switch",20230516,0.000,""
452037,2138876,"",20230530203754620000,220,"Renewal Premium",20230531,571.000,"EUR"
452037,2138876,"",20230627203824773000,220,"Renewal Premium",20230628,571.000,"EUR"
452037,2138876,"",20230727203730764000,220,"Renewal Premium",20230728,571.000,"EUR"
452037,2138876,"",20230829203728531000,220,"Renewal Premium",20230830,571.000,"EUR"
452037,2138876,"",20230927203730706000,220,"Renewal Premium",20230928,571.000,"EUR"
452037,2144809,"",20221020203835054000,220,"Renewal Premium",20221021,325.000,"USD"
452037,2144809,"",20221120203816307000,220,"Renewal Premium",20221121,325.000,"USD"
452037,2144809,"",20221220203841522000,220,"Renewal Premium",20221221,325.000,"USD"
452037,2144809,"",20230720203631876000,220,"Renewal Premium",20230206,325.000,"USD"
452037,2144809,"",20230720203631889000,220,"Renewal Premium",20230228,10.000,"USD"
452037,2144809,"",20230720203631897000,220,"Renewal Premium",20230228,325.000,"USD"
452037,2144809,"",20230721203603386000,220,"Renewal Premium",20230424,325.000,"USD"
452037,2144809,"",20230721203603412000,220,"Renewal Premium",20230602,325.000,"USD"
452037,2144809,"",20230721203603422000,220,"Renewal Premium",20230605,325.000,"USD"
452037,2144809,"",20230729203726756000,220,"Renewal Premium",20230710,325.000,"USD"
452037,2144809,"",20230803203632408000,220,"Renewal Premium",20230804,325.000,"USD"
452037,2144809,"",20230905204202555000,220,"Renewal Premium",20230905,325.000,"USD"
452037,2144809,"",20231005203728551000,220,"Renewal Premium",20231006,325.000,"USD"
452037,2144817,"",20221020203835077000,220,"Renewal Premium",20221021,500.000,"USD"
452037,2144817,"",20221120203816334000,220,"Renewal Premium",20221121,500.000,"USD"
452037,2144817,"",20221220203841541000,220,"Renewal Premium",20221221,500.000,"USD"
452037,2144817,"",20230201204908220000,220,"Renewal Premium",20230202,500.000,"USD"
452037,2144817,"",20230201204908242000,220,"Renewal Premium",20230202,-15.000,"USD"
452037,2144817,"",20230205204753389000,220,"Renewal Premium",20230206,500.000,"USD"
452037,2144817,"",20230205204753419000,220,"Renewal Premium",20230206,-15.000,"USD"
452037,2144817,"",20230312203815338000,220,"Renewal Premium",20230313,500.000,"USD"
452037,2144817,"",20230312203815365000,220,"Renewal Premium",20230313,-15.000,"USD"
452037,2144817,"",20230423203525026000,220,"Renewal Premium",20230424,500.000,"USD"
452037,2144817,"",20230423203525045000,220,"Renewal Premium",20230424,-10.000,"USD"
452037,2144817,"",20230601204507868000,220,"Renewal Premium",20230602,500.000,"USD"
